word,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
able,0.036539987,0.009504372,0.016406743,0.023499904,0.023199005,0.021913429,0.013614337,0.022460842,0.016752832,0.009456827,0.010035327,0.01734589,0.01279979,0.011681575,0.01102795,0.004390685,0.020432229,0.01368393,0.014384431,0.014189146,0.024118061,0.031007084,0.019654998,0.017844156,0.011194604,0.006684102,0.015375433,0.00558168,0.012617029,0.029928502,0.007555703,0.020348329,0.008149178,0.02078131,0.015056505,0.011131197,0.013520465,0.012811647,0.016180236,0.013716212,0.015418625,0.022540294,0.012234681,0.016582664,0.017219221,0.025262404,0.007490617,0.017221115,0.014881429,0.030835189,0.016880105
ably,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003837854,0,0.003930001,0,0.004832188,0,0,0,0,0.008035182,0.004200755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584015,0,0,0,0,0
abnormal,0,0.005230977,0,0,0,0,0,0,0,0,0,0,0.004931287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abnormally,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005740485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aboard,0,0,0,0,0,0,0,0,0,0,0,0.005681575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abolish,0,0,0,0,0.006122336,0.006144508,0,0.002799112,0,0,0.002501242,0.002993091,0.002871241,0,0,0.004924578,0,0.002790519,0.002933369,0,0,0.003024126,0,0,0,0.002998747,0,0,0,0,0.006779562,0,0,0,0,0,0,0.004789834,0,0,0,0,0,0,0.004828256,0,0,0,0,0,0
abolished,0,0,0,0.002774465,0,0,0.003053959,0,0.002890757,0.003535582,0,0,0,0,0,0.002462289,0.00286459,0.005581037,0.005866739,0,0,0.003024126,0,0,0.006277916,0,0,0,0.00707561,0,0,0,0,0,0,0,0,0.004789834,0,0,0,0,0,0,0.004828256,0,0,0,0,0.004323081,0
abolishing,0,0,0,0,0.004311582,0,0,0.003942482,0,0,0,0,0,0,0.003484264,0,0,0,0,0.004981154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006746366,0,0,0,0,0,0,0,0,0,0,0,0,0
abolishment,0,0,0,0,0,0,0,0.003942482,0,0,0,0.004215697,0,0,0,0,0,0,0,0,0,0,0.004139977,0,0,0,0,0,0,0,0,0,0,0,0.005946349,0,0,0,0,0,0,0,0,0,0.006800482,0,0,0,0,0,0
abolition,0,0.004301266,0.006496857,0.001959085,0,0.004338716,0,0.001976489,0,0.009986081,0.003532319,0.004226921,0.00202742,0.004111779,0,0.012170578,0.002022724,0.003940842,0.00414258,0.007491622,0.00764035,0.004270748,0,0.002018872,0.002216459,0.002117454,0,0,0.00249809,0.002962824,0,0,0.003226968,0,0,0,0,0.003382163,0,0.003620961,0,0.003245696,0,0.002918453,0,0,0,0,0,0.003052583,0
